company,layoff_date,jobs_cut,pct_workforce_cut,sector,country,ai_cited,reason_stated,company_revenue_2025_bn,pre_layoff_headcount,stock_change_day_pct,simultaneous_ai_investment_bn,roles_most_affected,replacement_roles,layoffs_2024,layoffs_2025,region,layoff_size_category,stock_reaction
Amazon,15-01-2026,16000,2.7,E-Commerce/Cloud,USA,FALSE,Reduce bureaucracy and management layers,716.9,1550000,1.2,100,"Middle management, program managers","AI engineers, data architects",4000,14000,North America,Mega (5K+),Positive
Block,28-02-2026,4000,40,Fintech,USA,TRUE,AI tools replace roles enabling smaller teams,22.4,10000,5.8,2,"QA testers, customer support, content","AI prompt engineers, ML engineers",0,1000,North America,Large (2K-5K),Positive
Meta Reality Labs,20-01-2026,1500,10,Social Media/VR,USA,TRUE,Pivot from metaverse to AI research,164.5,79000,2.1,115,"VR/AR engineers, metaverse designers","AI researchers, LLM engineers",0,500,North America,Medium (500-2K),Positive
Atlassian,14-03-2026,1600,10,Enterprise Software,Australia,TRUE,Pivot to AI-first company strategy,5.1,16000,2,0.5,"R&D engineers, QA, IT ops","AI product managers, enterprise sales",0,500,Asia-Pacific,Medium (500-2K),Positive
Oracle,01-02-2026,30000,15,Enterprise Software,USA,TRUE,AI data centres replace human ops,52.9,200000,3.5,40,"IT operations, database admins, support","AI infrastructure engineers, GPU specialists",6000,10000,North America,Mega (5K+),Positive
Salesforce,10-01-2026,1000,1.4,CRM/SaaS,USA,TRUE,AI-driven efficiency and restructuring,37.9,72000,0.8,5,"Sales support, Tier-1 customer service",Agentforce AI specialists,1000,1000,North America,Medium (500-2K),Positive
Autodesk,25-01-2026,1000,9,Design Software,USA,FALSE,Post-Ansys acquisition restructuring,5.9,11000,1.5,0.3,Overlapping roles from merger,Cloud integration engineers,500,1200,North America,Medium (500-2K),Positive
eBay,28-01-2026,800,5,E-Commerce,USA,TRUE,AI-forward strategy in customer ops,10.3,11000,1.2,0.8,"Content moderation, customer support",AI content reviewers,1000,1000,North America,Medium (500-2K),Positive
Pinterest,10-02-2026,675,4,Social Media,USA,TRUE,AI-forward content and marketing strategy,3.6,3700,2.2,0.4,"Content moderation, marketing roles",AI content specialists,1500,200,North America,Medium (500-2K),Positive
Ericsson,15-01-2026,1600,12,Telecommunications,Sweden,FALSE,Declining 5G demand and cost reduction,24.3,105000,0.5,0.2,"Network engineers, R&D staff",None announced,3000,5000,Europe,Medium (500-2K),Positive
ASML,20-01-2026,1700,3.4,Semiconductors,Netherlands,FALSE,Chip market slowdown,30.8,42000,-1.2,0,"Manufacturing support, admin roles",None announced,0,0,Europe,Medium (500-2K),Negative
ams OSRAM,05-02-2026,2000,12,Semiconductors,Austria,FALSE,Cost restructuring and portfolio focus,3.2,21000,0.8,0,"Manufacturing, engineering support",None announced,0,500,Europe,Medium (500-2K),Positive
Ocado,30-01-2026,1000,7,Grocery Tech,UK,TRUE,AI automation in warehouse operations,3.8,14000,1.1,0.5,"Warehouse supervisors, logistics","Robotics engineers, AI ops",0,0,Europe,Medium (500-2K),Positive
WiseTech Global,20-02-2026,2000,25,Logistics Software,Australia,TRUE,AI replaces QA and testing teams,3.2,8000,3.2,0.3,"QA engineers, manual testers",AI test automation engineers,0,0,Asia-Pacific,Medium (500-2K),Positive
Cisco,15-02-2026,6000,7,Networking/Cybersecurity,USA,FALSE,Restructuring after Splunk acquisition,56.9,85000,-0.5,2,Overlapping roles post-acquisition,Security AI specialists,4200,6000,North America,Mega (5K+),Negative
T-Mobile,02-02-2026,363,0.1,Telecommunications,USA,FALSE,Restructuring sales teams,80,71000,-0.3,0,Sales representatives,None announced,0,5000,North America,Small (<500),Negative
SK Battery America,16-03-2026,958,37.3,EV Batteries,USA,FALSE,Slowing EV demand,8.4,2566,-2.1,0,Battery production workers,None announced,0,0,North America,Medium (500-2K),Negative
Walgreens,11-03-2026,1000,0.5,Retail Pharmacy,USA,FALSE,Store closures and cost restructuring,140,315000,-0.8,0,"Pharmacy staff, store associates",None announced,3000,2000,North America,Medium (500-2K),Negative
Telefonica,15-01-2026,5000,5,Telecommunications,Spain,FALSE,Cost restructuring with compensation,44.5,100000,0.4,0,Legacy network operations,Digital roles,0,3000,Europe,Large (2K-5K),Positive
xAI,25-02-2026,50,2,AI Research,USA,TRUE,Internal reorganization,0,2500,0,6,"Senior engineers, co-founders",None announced,0,0,North America,Small (<500),Neutral
Palo Alto Networks,18-02-2026,500,2,Cybersecurity,USA,FALSE,Post-CyberArk acquisition overlap,8,15000,0.5,0.5,Overlapping roles from merger,None announced,0,500,North America,Small (<500),Positive
Livspace,10-02-2026,1000,15,Interior Design Tech,India,TRUE,AI design tools replace human designers,0.3,7000,0,0.1,"Interior designers, project managers",AI design specialists,0,0,Asia-Pacific,Medium (500-2K),Neutral
General Motors Tech,22-01-2026,1000,2,Automotive Tech,USA,FALSE,Rethinking digital transformation,180,150000,-0.4,3,"Software engineers, digital staff",None announced,500,1500,North America,Medium (500-2K),Negative
Workday,28-01-2026,2200,8.5,Enterprise SaaS,USA,TRUE,AI investment and office space reduction,8.5,25800,1.8,1.5,"Customer service, admin roles",AI success managers,1750,1750,North America,Large (2K-5K),Positive
Ergo Insurance,01-03-2026,200,2,Insurance,Germany,TRUE,AI automates insurance tasks,0,9000,0,0.2,"Claims processors, underwriters",AI system trainers,0,0,Europe,Small (<500),Neutral
Algoma Steel,07-03-2026,1000,20,Manufacturing,Canada,FALSE,Blast furnace closure,2.8,5000,-1.5,0,Steel production workers,None announced,0,0,North America,Medium (500-2K),Negative
Meta Platforms (Planned),13-03-2026,16000,20,Social Media/AI,USA,TRUE,Offset AI infrastructure costs,164.5,79000,3,115,"Engineering, middle management, ops","AI engineers, GPU infrastructure",0,0,North America,Mega (5K+),Positive
Algoma Steel,23-03-2026,1000,20,Manufacturing,Canada,FALSE,Blast furnace closure effective,2.8,5000,-1.5,0,Steel workers,None announced,0,0,North America,Medium (500-2K),Negative
